,emotion,statements,gender
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Wc.wav,anger,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Ff.wav,happiness,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04La.wav,boredom,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Nc.wav,neutral,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Tb.wav,sadness,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Wc.wav,anger,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Fe.wav,happiness,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Nb.wav,neutral,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Ta.wav,sadness,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Wa.wav,anger,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Fd.wav,happiness,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07La.wav,boredom,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Na.wav,neutral,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Ta.wav,sadness,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Tb.wav,sadness,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Wc.wav,anger,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Aa.wav,anxiety/fear,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Fd.wav,happiness,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Fe.wav,happiness,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Lb.wav,boredom,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Na.wav,neutral,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Wa.wav,anger,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Ff.wav,happiness,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02La.wav,boredom,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Nb.wav,neutral,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Tc.wav,sadness,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Wd.wav,anger,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Fe.wav,happiness,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Lc.wav,boredom,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Tc.wav,sadness,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Wd.wav,anger,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Ab.wav,anxiety/fear,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Fd.wav,happiness,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Lc.wav,boredom,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Nb.wav,neutral,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Tb.wav,sadness,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Wc.wav,anger,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Aa.wav,anxiety/fear,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Fd.wav,happiness,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b10La.wav,boredom,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Nc.wav,neutral,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Tc.wav,sadness,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Wa.wav,anger,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Ea.wav,disgust,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Fa.wav,happiness,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Nb.wav,neutral,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Wb.wav,anger,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a02Ea.wav,disgust,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a02Eb.wav,disgust,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a02La.wav,boredom,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a02Wb.wav,anger,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Fd.wav,happiness,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a04La.wav,boredom,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Nb.wav,neutral,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Wa.wav,anger,I could tell him Tonight,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Ed.wav,disgust,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Nb.wav,neutral,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Tb.wav,sadness,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Wc.wav,anger,The black piece of paper is up there next to the piece of wood,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Eb.wav,disgust,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Na.wav,neutral,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Ta.wav,sadness,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Wb.wav,anger,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Wd.wav,anger,It will be ready in seven hours,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Ea.wav,disgust,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Na.wav,neutral,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Wb.wav,anger,What kind of bags are there under the table,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Na.wav,neutral,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Tb.wav,sadness,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Wc.wav,anger,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Wd.wav,anger,They just carried it up and now they're going down again,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Ed.wav,disgust,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Fa.wav,happiness,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Fd.wav,happiness,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Lb.wav,boredom,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Ta.wav,sadness,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Wb.wav,anger,I used to go home on the weekends and visit Agnes,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Ea.wav,disgust,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Nd.wav,neutral,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Aa.wav,anxiety/fear,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Nd.wav,neutral,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Wa.wav,anger,It will be in the place where we always put it,female
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Ac.wav,anxiety/fear,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Nb.wav,neutral,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Wa.wav,anger,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Ab.wav,anxiety/fear,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Fa.wav,happiness,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Lb.wav,boredom,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Na.wav,neutral,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Wa.wav,anger,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Fd.wav,happiness,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Nb.wav,neutral,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Wa.wav,anger,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Wb.wav,anger,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Aa.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Ld.wav,boredom,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Tb.wav,sadness,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Aa.wav,anxiety/fear,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Ad.wav,anxiety/fear,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a07La.wav,boredom,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Ta.wav,sadness,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Wb.wav,anger,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Aa.wav,anxiety/fear,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Ea.wav,disgust,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Fa.wav,happiness,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Lb.wav,boredom,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b02Aa.wav,anxiety/fear,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b02La.wav,boredom,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b02Na.wav,neutral,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b02Wb.wav,anger,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b03La.wav,boredom,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b03Tb.wav,sadness,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b03Wb.wav,anger,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b09Ad.wav,anxiety/fear,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b09Lb.wav,boredom,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b09Wb.wav,anger,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b10Fc.wav,happiness,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b10Lc.wav,boredom,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\10b10Wa.wav,anger,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Aa.wav,anxiety/fear,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Ab.wav,anxiety/fear,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Ld.wav,boredom,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Nd.wav,neutral,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Wc.wav,anger,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Ec.wav,disgust,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Fb.wav,happiness,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Ld.wav,boredom,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Nc.wav,neutral,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Tc.wav,sadness,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Wc.wav,anger,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Ac.wav,anxiety/fear,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Fd.wav,happiness,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Nd.wav,neutral,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Wc.wav,anger,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Ad.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Fb.wav,happiness,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Fc.wav,happiness,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Na.wav,neutral,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Td.wav,sadness,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Wd.wav,anger,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Ac.wav,anxiety/fear,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Ld.wav,boredom,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Ta.wav,sadness,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Wc.wav,anger,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b01Ab.wav,anxiety/fear,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b01Eb.wav,disgust,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b01Fc.wav,happiness,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b01Lb.wav,boredom,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b01Nc.wav,neutral,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b01Wd.wav,anger,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b02Ab.wav,anxiety/fear,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b02Fd.wav,happiness,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b02Na.wav,neutral,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b02Td.wav,sadness,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b02Wb.wav,anger,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b03Fc.wav,happiness,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b03Lc.wav,boredom,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b03Td.wav,sadness,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b03Wa.wav,anger,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b03Wb.wav,anger,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b09Ad.wav,anxiety/fear,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b09Fd.wav,happiness,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b09Ld.wav,boredom,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b09Na.wav,neutral,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b09Td.wav,sadness,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b10Ad.wav,anxiety/fear,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b10Ae.wav,anxiety/fear,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b10Ld.wav,boredom,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b10Nc.wav,neutral,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b10Td.wav,sadness,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\11b10Wa.wav,anger,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a01Fb.wav,happiness,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a01Lb.wav,boredom,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a01Nb.wav,neutral,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a01Wc.wav,anger,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a02Ac.wav,anxiety/fear,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a02Ec.wav,disgust,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a02Nb.wav,neutral,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\12a02Wa.wav,anger,She wants to hand that in on Wednesday,male
