,emotion,statements,gender
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S04_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S05_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S06_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S07_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S08_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S09_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S10_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S10_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S10_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S10_AN_4.wav,anger,,female
