,emotion,statements,gender
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff15.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh01.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh02.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh03.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh04.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh05.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh06.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh07.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh08.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh09.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh10.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh11.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh12.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh13.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh14.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DChh15.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn01.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn02.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn03.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn04.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn05.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn06.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn07.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn08.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn09.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn10.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn11.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn12.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn13.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn14.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn15.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn16.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn17.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn18.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn19.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn20.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn21.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn22.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn23.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn24.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn25.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn26.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn27.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn28.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn29.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCnn30.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa01.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa02.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa03.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa04.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa05.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa06.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa07.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa08.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa09.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa10.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa11.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa12.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa13.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa14.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsa15.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu01.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu02.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu03.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu04.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu05.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu06.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu07.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu08.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu09.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu10.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu11.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu12.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu13.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu14.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCsu15.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa01.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa02.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa03.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa04.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa05.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa06.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa07.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa08.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa09.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa10.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa11.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa12.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa13.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa14.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEaa15.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd01.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd02.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd03.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd04.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd05.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd06.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd07.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd08.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd09.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd10.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd11.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd12.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd13.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd14.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEdd15.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff01.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff02.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff03.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff04.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff05.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff06.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff07.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff08.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff09.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff10.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff11.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff12.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff13.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff14.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEff15.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh01.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh02.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh03.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh04.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh05.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh06.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh07.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh08.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh09.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh10.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh11.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh12.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh13.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh14.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEhh15.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn01.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn02.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn03.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn04.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn05.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn06.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn07.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn08.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn09.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn10.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn11.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn12.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn13.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn14.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn15.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn16.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn17.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn18.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn19.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn20.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn21.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn22.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn23.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn24.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn25.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn26.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn27.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn28.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn29.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEnn30.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa01.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa02.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa03.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa04.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa05.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa06.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa07.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa08.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa09.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa10.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa11.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa12.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa13.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa14.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsa15.wav,sad,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu01.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu02.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu03.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu04.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu05.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu06.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu07.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu08.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu09.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu10.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu11.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu12.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu13.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu14.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JE\JEsu15.wav,surprise,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa01.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa02.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa03.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa04.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa05.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa06.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa07.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa08.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa09.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa10.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa11.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa12.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa13.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa14.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKaa15.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd01.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd02.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd03.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd04.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd05.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd06.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd07.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd08.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd09.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd10.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd11.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd12.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd13.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd14.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKdd15.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff01.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff02.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff03.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff04.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff05.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff06.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff07.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff08.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff09.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff10.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff11.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff12.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff13.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff14.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKff15.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh01.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh02.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh03.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh04.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh05.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh06.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh07.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh08.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh09.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh10.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh11.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh12.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh13.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh14.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKhh15.wav,happy,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn01.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn02.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn03.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn04.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn05.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn06.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn07.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn08.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn09.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn10.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn11.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn12.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn13.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn14.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn15.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn16.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn17.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn18.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn19.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn20.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn21.wav,neutral,,male
datasources\SAVEE\SAVEE_DATA\AudioData\JK\JKnn22.wav,neutral,,male
